Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
Mariano,do DOM,FW,Real Madrid,27.0,1993.0,9,3,342,3.8,1,1,1,0,0,2,0,0.26,0.26,0.53,0.26,0.53,2.2,2.2,0.6,2.8,0.57,0.17,0.74,0.57,0.74,https://fbref.com/en/players/5c4dc0ff/,https://fbref.com/en/players/5c4dc0ff/scout/10731/Mariano-Scouting-Report,https://fbref.com/en/players/5c4dc0ff/scout/1632/Mariano-Scouting-Report,,,,,,
Mika Màrmol,es ESP,DF,Barcelona,19.0,2002.0,1,0,1,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e7630876/,https://fbref.com/en/players/e7630876/matchlogs/2021-2022/passing/Mika-Marmol-Match-Logs,,,,,,,
Roger Martí,es ESP,FW,Levante,30.0,1991.0,29,25,2115,23.5,7,3,6,1,3,8,0,0.3,0.13,0.43,0.26,0.38,8.1,5.9,1.7,7.5,0.35,0.07,0.42,0.25,0.32,https://fbref.com/en/players/0ae4e09a/,https://fbref.com/en/players/0ae4e09a/scout/365_euro/Roger-Marti-Scouting-Report,https://fbref.com/en/players/0ae4e09a/scout/11174/Roger-Marti-Scouting-Report,https://fbref.com/en/players/0ae4e09a/scout/10731/Roger-Marti-Scouting-Report,https://fbref.com/en/players/0ae4e09a/scout/3239/Roger-Marti-Scouting-Report,https://fbref.com/en/players/0ae4e09a/scout/1886/Roger-Marti-Scouting-Report,https://fbref.com/en/players/0ae4e09a/scout/1652/Roger-Marti-Scouting-Report,,
Anthony Martial,fr FRA,FWMF,Sevilla,25.0,1995.0,9,7,490,5.4,0,1,0,0,0,1,0,0.0,0.18,0.18,0.0,0.18,0.3,0.3,0.2,0.5,0.06,0.03,0.09,0.06,0.09,https://fbref.com/en/players/8b788c01/,https://fbref.com/en/players/8b788c01/scout/365_euro/Anthony-Martial-Scouting-Report,https://fbref.com/en/players/8b788c01/scout/11174/Anthony-Martial-Scouting-Report,https://fbref.com/en/players/8b788c01/scout/10728/Anthony-Martial-Scouting-Report,https://fbref.com/en/players/8b788c01/scout/3232/Anthony-Martial-Scouting-Report,https://fbref.com/en/players/8b788c01/scout/1889/Anthony-Martial-Scouting-Report,https://fbref.com/en/players/8b788c01/scout/1631/Anthony-Martial-Scouting-Report,,
Martín,es ESP,MF,Cádiz,22.0,1999.0,6,1,115,1.3,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.01,0.06,0.05,0.06,https://fbref.com/en/players/cbec0059/,https://fbref.com/en/players/cbec0059/all_comps/Martin-Stats---All-Competitions,https://fbref.com/en/players/cbec0059/dom_lg/Martin-Domestic-League-Stats,https://fbref.com/en/players/cbec0059/dom_cup/Martin-Domestic-Cup-Stats,,,,,
Ander Martin,es ESP,FWMF,Real Sociedad,20.0,2000.0,5,1,88,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.1,0.3,0.17,0.1,0.27,0.17,0.27,https://fbref.com/en/players/e1e75690/,https://fbref.com/en/players/e1e75690/all_comps/Ander-Martin-Stats---All-Competitions,https://fbref.com/en/players/e1e75690/dom_lg/Ander-Martin-Domestic-League-Stats,https://fbref.com/en/players/e1e75690/intl_cup/Ander-Martin-International-Cup-Stats,,,,,
Andrés Martín,es ESP,FWMF,Rayo Vallecano,22.0,1999.0,7,1,186,2.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.18,0.0,0.18,0.18,0.18,https://fbref.com/en/players/2ae30661/,https://fbref.com/en/players/2ae30661/all_comps/Andres-Martin-Stats---All-Competitions,https://fbref.com/en/players/2ae30661/dom_lg/Andres-Martin-Domestic-League-Stats,https://fbref.com/en/players/2ae30661/dom_cup/Andres-Martin-Domestic-Cup-Stats,,,,,
Carlos Martín,es ESP,DF,Atlético Madrid,19.0,2002.0,1,0,6,0.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/64035864/,https://fbref.com/en/players/64035864/all_comps/Carlos-Martin-Stats---All-Competitions,https://fbref.com/en/players/64035864/dom_lg/Carlos-Martin-Domestic-League-Stats,https://fbref.com/en/players/64035864/dom_cup/Carlos-Martin-Domestic-Cup-Stats,,,,,
Iván Martín,es ESP,MF,Alavés,22.0,1999.0,6,2,166,1.8,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05,https://fbref.com/en/players/ae48c5cb/,https://fbref.com/en/players/ae48c5cb/all_comps/Ivan-Martin-Stats---All-Competitions,https://fbref.com/en/players/ae48c5cb/dom_lg/Ivan-Martin-Domestic-League-Stats,https://fbref.com/en/players/ae48c5cb/dom_cup/Ivan-Martin-Domestic-Cup-Stats,,,,,
Iñigo Martínez,es ESP,DF,Athletic Club,30.0,1991.0,27,26,2341,26.0,3,0,3,0,0,9,2,0.12,0.0,0.12,0.12,0.12,2.1,2.1,0.5,2.5,0.08,0.02,0.1,0.08,0.1,https://fbref.com/en/players/3fc45c73/,https://fbref.com/en/players/3fc45c73/scout/365_euro/Inigo-Martinez-Scouting-Report,https://fbref.com/en/players/3fc45c73/scout/11174/Inigo-Martinez-Scouting-Report,https://fbref.com/en/players/3fc45c73/scout/10731/Inigo-Martinez-Scouting-Report,https://fbref.com/en/players/3fc45c73/scout/3239/Inigo-Martinez-Scouting-Report,https://fbref.com/en/players/3fc45c73/scout/1886/Inigo-Martinez-Scouting-Report,https://fbref.com/en/players/3fc45c73/scout/1652/Inigo-Martinez-Scouting-Report,,
Javi Martínez,es ESP,MF,Osasuna,21.0,1999.0,26,9,879,9.8,1,1,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,0.8,0.8,1.0,1.7,0.08,0.1,0.18,0.08,0.18,https://fbref.com/en/players/3672b352/,https://fbref.com/en/players/3672b352/scout/365_euro/Javi-Martinez-Scouting-Report,https://fbref.com/en/players/3672b352/scout/11174/Javi-Martinez-Scouting-Report,https://fbref.com/en/players/3672b352/scout/10731/Javi-Martinez-Scouting-Report,,,,,
Pablo Martínez,es ESP,MF,Levante,23.0,1998.0,13,7,656,7.3,0,1,0,0,0,2,0,0.0,0.14,0.14,0.0,0.14,0.4,0.4,1.3,1.7,0.05,0.18,0.23,0.05,0.23,https://fbref.com/en/players/ecc77652/,https://fbref.com/en/players/ecc77652/scout/365_euro/Pablo-Martinez-Scouting-Report,https://fbref.com/en/players/ecc77652/scout/11174/Pablo-Martinez-Scouting-Report,,,,,,
