Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference
Marcus Rashford,ENG,FWMF,Manchester Utd,24-192,1997,25,13,1235,13.7,4,2,4,0,0,2,0,0.29,0.15,0.44,0.29,0.44,2.4,2.4,2.0,4.4,0.18,0.14,0.32,0.18,0.32,https://fbref.com/en/players/a1d5bd30/
Milot Rashica,KVX,FWMF,Norwich City,25-317,1996,29,23,2073,23.0,1,2,1,0,0,0,0,0.04,0.09,0.13,0.04,0.13,2.7,2.7,2.1,4.8,0.12,0.09,0.21,0.12,0.21,https://fbref.com/en/players/6c6a3300/
David Raya,ESP,GK,Brentford,26-238,1995,22,22,1980,22.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/98ea5115/
Nathan Redmond,ENG,MFFW,Southampton,28-066,1994,25,18,1661,18.5,0,5,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27,1.9,1.9,4.4,6.2,0.1,0.24,0.34,0.1,0.34,https://fbref.com/en/players/ab651565/
Sergio Reguilón,ESP,DF,Tottenham,25-146,1996,25,22,1916,21.3,2,3,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,3.0,3.0,4.0,7.0,0.14,0.19,0.33,0.14,0.33,https://fbref.com/en/players/3353737a/
Declan Rice,ENG,MF,West Ham,23-117,1999,34,33,2999,33.3,1,4,1,0,0,8,0,0.03,0.12,0.15,0.03,0.15,1.1,1.1,2.0,3.0,0.03,0.06,0.09,0.03,0.09,https://fbref.com/en/players/1c7012b8/
Taylor Richards,ENG,MFFW,Brighton,21-158,2000,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,https://fbref.com/en/players/e0243d23/
Richarlison,BRA,FWMF,Everton,25-001,1997,27,25,2254,25.0,8,4,6,2,2,9,0,0.32,0.16,0.48,0.24,0.4,8.5,7.0,2.3,9.4,0.34,0.09,0.43,0.28,0.37,https://fbref.com/en/players/fa031b34/
Jaïro Riedewald,NED,MF,Crystal Palace,25-244,1996,3,1,118,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.06,0.06,0.0,0.06,https://fbref.com/en/players/7a1f2c08/
Matt Ritchie,SCO,DF,Newcastle Utd,32-243,1989,17,14,1335,14.8,0,2,0,0,0,5,0,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.6,2.1,0.03,0.11,0.14,0.03,0.14,https://fbref.com/en/players/71ef519e/
Connor Roberts,WAL,DF,Burnley,26-230,1995,18,16,1467,16.3,1,1,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,0.1,0.1,0.5,0.6,0.01,0.03,0.04,0.01,0.04,https://fbref.com/en/players/24fae784/
Tyler Roberts,WAL,MFFW,Leeds United,23-119,1999,23,7,987,11.0,1,1,1,0,0,5,0,0.09,0.09,0.18,0.09,0.18,2.4,2.4,1.2,3.7,0.22,0.11,0.34,0.22,0.34,https://fbref.com/en/players/6c17e046/
Andrew Robertson,SCO,DF,Liverpool,28-061,1994,28,28,2447,27.2,2,10,2,0,0,5,1,0.07,0.37,0.44,0.07,0.44,1.7,1.7,5.2,6.9,0.06,0.19,0.25,0.06,0.25,https://fbref.com/en/players/2e4f5f03/
Joe Rodon,WAL,DF,Tottenham,24-201,1997,1,0,79,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/8d62d31a/
Rodri,ESP,MF,Manchester City,25-323,1996,30,30,2614,29.0,6,1,6,0,0,5,0,0.21,0.03,0.24,0.21,0.24,2.2,2.2,1.3,3.5,0.08,0.05,0.12,0.08,0.12,https://fbref.com/en/players/6434f10d/
Rodrigo,ESP,MFFW,Leeds United,31-066,1991,28,24,1995,22.2,6,1,5,1,1,8,0,0.27,0.05,0.32,0.23,0.27,4.5,3.8,4.0,7.8,0.2,0.18,0.38,0.17,0.35,https://fbref.com/en/players/1fb1c435/
Jay Rodriguez,ENG,FW,Burnley,32-286,1989,29,13,1382,15.4,2,2,2,0,0,3,0,0.13,0.13,0.26,0.13,0.26,4.7,4.7,1.9,6.6,0.3,0.12,0.43,0.3,0.43,https://fbref.com/en/players/4ab53cdb/
Mads Roerslev,DEN,DF,Brentford,22-321,1999,20,12,1224,13.6,1,1,1,0,0,1,0,0.07,0.07,0.15,0.07,0.15,0.3,0.3,1.0,1.3,0.02,0.07,0.09,0.02,0.09,https://fbref.com/en/players/57c94db2/
Cristian Romero,ARG,DF,Tottenham,24-014,1998,22,21,1844,20.5,1,0,1,0,0,8,0,0.05,0.0,0.05,0.05,0.05,0.7,0.7,0.5,1.1,0.03,0.02,0.05,0.03,0.05,https://fbref.com/en/players/a3d94a58/
Oriol Romeu,ESP,MF,Southampton,30-229,1991,34,33,2780,30.9,2,2,2,0,0,8,0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,2.8,4.1,0.04,0.09,0.13,0.04,0.13,https://fbref.com/en/players/4b511457/
Cristiano Ronaldo,POR,FW,Manchester Utd,37-095,1985,30,27,2456,27.3,18,3,15,3,3,8,0,0.66,0.11,0.77,0.55,0.66,16.4,14.2,3.2,17.4,0.6,0.12,0.72,0.52,0.64,https://fbref.com/en/players/dea698d9/
Salomón Rondón,VEN,FW,Everton,32-237,1989,19,8,786,8.7,1,1,1,0,0,3,0,0.11,0.11,0.23,0.11,0.23,2.2,2.2,0.7,2.9,0.25,0.09,0.34,0.25,0.34,https://fbref.com/en/players/b318a643/
Danny Rose,ENG,DF,Watford,31-313,1990,8,7,689,7.7,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.9,0.02,0.1,0.12,0.02,0.12,https://fbref.com/en/players/89d10e53/
Jon Rowe,ENG,FWMF,Norwich City,19-011,2003,11,0,191,2.1,0,1,0,0,0,0,0,0.0,0.47,0.47,0.0,0.47,0.4,0.4,0.3,0.7,0.18,0.13,0.31,0.18,0.31,https://fbref.com/en/players/8c12f884/
Antonio Rüdiger,GER,DF,Chelsea,29-069,1993,31,31,2790,31.0,3,0,3,0,0,8,0,0.1,0.0,0.1,0.1,0.1,2.7,2.7,1.1,3.8,0.09,0.04,0.12,0.09,0.12,https://fbref.com/en/players/18b896d6/
Lukas Rupp,GER,MF,Norwich City,31-123,1991,16,6,663,7.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.2,1.9,0.09,0.16,0.26,0.09,0.26,https://fbref.com/en/players/3faa1780/
José Sá,POR,GK,Wolves,29-114,1993,35,35,3150,35.0,0,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,0.0,0.0,1.0,1.0,0.0,0.03,0.03,0.0,0.03,https://fbref.com/en/players/903b6e8b/
Allan Saint-Maximin,FRA,FWMF,Newcastle Utd,25-060,1997,33,29,2657,29.5,5,4,5,0,0,6,0,0.17,0.14,0.3,0.17,0.3,4.9,4.9,5.2,10.0,0.16,0.18,0.34,0.16,0.34,https://fbref.com/en/players/2b16cb1a/
Romain Saïss,MAR,DF,Wolves,32-046,1990,31,31,2705,30.1,2,0,2,0,0,6,0,0.07,0.0,0.07,0.07,0.07,2.7,2.7,0.4,3.1,0.09,0.01,0.1,0.09,0.1,https://fbref.com/en/players/9fbbcf39/
Bukayo Saka,ENG,FWMF,Arsenal,20-248,2001,35,33,2721,30.2,11,6,9,2,2,6,0,0.36,0.2,0.56,0.3,0.5,9.1,7.6,6.6,14.2,0.3,0.22,0.52,0.25,0.47,https://fbref.com/en/players/bc7dc64d/
Mohamed Salah,EGY,FW,Liverpool,29-330,1992,34,30,2729,30.3,22,13,17,5,6,1,0,0.73,0.43,1.15,0.56,0.99,20.9,16.2,10.3,26.5,0.69,0.34,1.03,0.53,0.87,https://fbref.com/en/players/e342ad68/
Mohammed Salisu,GHA,DF,Southampton,23-024,1999,32,31,2792,31.0,0,0,0,0,0,10,1,0.0,0.0,0.0,0.0,0.0,1.8,1.8,0.5,2.3,0.06,0.02,0.07,0.06,0.07,https://fbref.com/en/players/0b33f6ad/
Albert Sambi Lokonga,BEL,MF,Arsenal,22-201,1999,18,12,1106,12.3,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.7,1.3,0.05,0.06,0.11,0.05,0.11,https://fbref.com/en/players/1b4f1169/
Davinson Sánchez,COL,DF,Tottenham,25-333,1996,20,14,1361,15.1,2,0,2,0,0,4,0,0.13,0.0,0.13,0.13,0.13,2.0,2.0,0.1,2.2,0.14,0.01,0.14,0.14,0.14,https://fbref.com/en/players/da7b447d/
Robert Sánchez,ESP,GK,Brighton,24-174,1997,35,35,3149,35.0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.01,0.01,0.0,0.01,https://fbref.com/en/players/6a713852/
Jadon Sancho,ENG,FWMF,Manchester Utd,22-047,2000,29,20,1900,21.1,3,3,3,0,0,0,0,0.14,0.14,0.28,0.14,0.28,3.3,3.3,4.2,7.5,0.16,0.2,0.36,0.16,0.36,https://fbref.com/en/players/dbf053da/
Morgan Sanson,FRA,MF,Aston Villa,27-266,1994,10,3,356,4.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,https://fbref.com/en/players/6e7f1353/
Samir Santos,BRA,DF,Watford,27-157,1994,17,17,1493,16.6,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/92b4758e/
Josh Sargent,USA,FWMF,Norwich City,22-080,2000,26,18,1572,17.5,2,1,2,0,0,1,0,0.11,0.06,0.17,0.11,0.17,2.7,2.7,0.7,3.5,0.16,0.04,0.2,0.16,0.2,https://fbref.com/en/players/a8d4428b/
Jeremy Sarmiento,ECU,FWMF,Brighton,19-329,2002,5,1,48,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/ac0d576d/
