Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7,Scouting Report 8
Tom Cleverley,ENG,MF,Watford,32-272,1989,27,19,1526,17.0,0,2,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,0.8,0.8,1.5,2.3,0.05,0.09,0.13,0.05,0.13,https://fbref.com/en/players/6cdd8245/,https://fbref.com/en/players/6cdd8245/scout/365_euro/Tom-Cleverley-Scouting-Report,https://fbref.com/en/players/6cdd8245/scout/11160/Tom-Cleverley-Scouting-Report,https://fbref.com/en/players/6cdd8245/scout/3232/Tom-Cleverley-Scouting-Report,https://fbref.com/en/players/6cdd8245/scout/1889/Tom-Cleverley-Scouting-Report,https://fbref.com/en/players/6cdd8245/scout/1631/Tom-Cleverley-Scouting-Report,,,
Nathaniel Clyne,ENG,DF,Crystal Palace,31-036,1991,13,12,1081,12.0,0,1,0,0,0,1,0,0.0,0.08,0.08,0.0,0.08,0.0,0.0,0.5,0.5,0.0,0.04,0.04,0.0,0.04,https://fbref.com/en/players/0442183b/,https://fbref.com/en/players/0442183b/scout/365_euro/Nathaniel-Clyne-Scouting-Report,https://fbref.com/en/players/0442183b/scout/11160/Nathaniel-Clyne-Scouting-Report,https://fbref.com/en/players/0442183b/scout/10728/Nathaniel-Clyne-Scouting-Report,https://fbref.com/en/players/0442183b/scout/1889/Nathaniel-Clyne-Scouting-Report,,,,
Conor Coady,ENG,DF,Wolves,29-075,1993,35,35,3136,34.8,4,0,4,0,0,4,0,0.11,0.0,0.11,0.11,0.11,2.0,2.0,0.0,2.0,0.06,0.0,0.06,0.06,0.06,https://fbref.com/en/players/2928dca2/,https://fbref.com/en/players/2928dca2/scout/365_euro/Conor-Coady-Scouting-Report,https://fbref.com/en/players/2928dca2/scout/11160/Conor-Coady-Scouting-Report,https://fbref.com/en/players/2928dca2/scout/10728/Conor-Coady-Scouting-Report,https://fbref.com/en/players/2928dca2/scout/3232/Conor-Coady-Scouting-Report,https://fbref.com/en/players/2928dca2/scout/1889/Conor-Coady-Scouting-Report,,,
Séamus Coleman,IRL,DF,Everton,33-212,1988,27,27,2393,26.6,1,0,1,0,0,3,0,0.04,0.0,0.04,0.04,0.04,1.0,1.0,1.0,2.0,0.04,0.04,0.07,0.04,0.07,https://fbref.com/en/players/0420d84f/,https://fbref.com/en/players/0420d84f/scout/365_euro/Seamus-Coleman-Scouting-Report,https://fbref.com/en/players/0420d84f/scout/11160/Seamus-Coleman-Scouting-Report,https://fbref.com/en/players/0420d84f/scout/10728/Seamus-Coleman-Scouting-Report,https://fbref.com/en/players/0420d84f/scout/3232/Seamus-Coleman-Scouting-Report,https://fbref.com/en/players/0420d84f/scout/1889/Seamus-Coleman-Scouting-Report,https://fbref.com/en/players/0420d84f/scout/1631/Seamus-Coleman-Scouting-Report,,
Nathan Collins,IRL,DF,Burnley,21-011,2001,16,15,1400,15.6,2,0,2,0,0,2,1,0.13,0.0,0.13,0.13,0.13,1.3,1.3,0.4,1.8,0.09,0.03,0.11,0.09,0.11,https://fbref.com/en/players/a8c19eb8/,https://fbref.com/en/players/a8c19eb8/scout/365_euro/Nathan-Collins-Scouting-Report,https://fbref.com/en/players/a8c19eb8/scout/11160/Nathan-Collins-Scouting-Report,,,,,,
Aaron Connolly,IRL,FW,Brighton,22-103,2000,4,1,156,1.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.4,0.8,0.26,0.2,0.47,0.26,0.47,https://fbref.com/en/players/27c01749/,https://fbref.com/en/players/27c01749/scout/10728/Aaron-Connolly-Scouting-Report,https://fbref.com/en/players/27c01749/scout/3232/Aaron-Connolly-Scouting-Report,,,,,,
Liam Cooper,SCO,DF,Leeds United,30-254,1991,18,18,1544,17.2,0,1,0,0,0,4,0,0.0,0.06,0.06,0.0,0.06,0.3,0.3,0.1,0.4,0.02,0.01,0.02,0.02,0.02,https://fbref.com/en/players/dc64b8b3/,https://fbref.com/en/players/dc64b8b3/scout/365_euro/Liam-Cooper-Scouting-Report,https://fbref.com/en/players/dc64b8b3/scout/11160/Liam-Cooper-Scouting-Report,https://fbref.com/en/players/dc64b8b3/scout/10728/Liam-Cooper-Scouting-Report,,,,,
Jack Cork,ENG,MF,Burnley,32-320,1989,17,17,1400,15.6,1,0,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,0.6,0.6,0.1,0.8,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/74e12f1e/,https://fbref.com/en/players/74e12f1e/scout/365_euro/Jack-Cork-Scouting-Report,https://fbref.com/en/players/74e12f1e/scout/11160/Jack-Cork-Scouting-Report,https://fbref.com/en/players/74e12f1e/scout/10728/Jack-Cork-Scouting-Report,https://fbref.com/en/players/74e12f1e/scout/3232/Jack-Cork-Scouting-Report,https://fbref.com/en/players/74e12f1e/scout/1889/Jack-Cork-Scouting-Report,https://fbref.com/en/players/74e12f1e/scout/1631/Jack-Cork-Scouting-Report,,
Maxwel Cornet,CIV,FWMF,Burnley,25-226,1996,23,18,1502,16.7,8,1,8,0,1,2,0,0.48,0.06,0.54,0.48,0.54,5.9,5.1,1.4,6.5,0.35,0.08,0.44,0.31,0.39,https://fbref.com/en/players/beb391dd/,https://fbref.com/en/players/beb391dd/scout/365_euro/Maxwel-Cornet-Scouting-Report,https://fbref.com/en/players/beb391dd/scout/11160/Maxwel-Cornet-Scouting-Report,https://fbref.com/en/players/beb391dd/scout/10732/Maxwel-Cornet-Scouting-Report,https://fbref.com/en/players/beb391dd/scout/3243/Maxwel-Cornet-Scouting-Report,https://fbref.com/en/players/beb391dd/scout/2104/Maxwel-Cornet-Scouting-Report,https://fbref.com/en/players/beb391dd/scout/1632/Maxwel-Cornet-Scouting-Report,,
Hélder Costa,ANG,MF,Leeds United,28-119,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.11,0.11,0.11,https://fbref.com/en/players/f13d02a6/,https://fbref.com/en/players/f13d02a6/scout/365_euro/Helder-Costa-Scouting-Report,https://fbref.com/en/players/f13d02a6/scout/11174/Helder-Costa-Scouting-Report,https://fbref.com/en/players/f13d02a6/scout/10728/Helder-Costa-Scouting-Report,https://fbref.com/en/players/f13d02a6/scout/1889/Helder-Costa-Scouting-Report,,,,
Vladimír Coufal,CZE,DF,West Ham,29-262,1992,26,23,2039,22.7,0,4,0,0,0,4,1,0.0,0.18,0.18,0.0,0.18,0.6,0.6,2.3,2.9,0.03,0.1,0.13,0.03,0.13,https://fbref.com/en/players/fdf3cb77/,https://fbref.com/en/players/fdf3cb77/scout/365_euro/Vladimir-Coufal-Scouting-Report,https://fbref.com/en/players/fdf3cb77/scout/11160/Vladimir-Coufal-Scouting-Report,https://fbref.com/en/players/fdf3cb77/scout/10728/Vladimir-Coufal-Scouting-Report,,,,,
Philippe Coutinho,BRA,MFFW,Aston Villa,29-333,1992,16,14,1149,12.8,4,3,4,0,0,0,0,0.31,0.23,0.55,0.31,0.55,3.5,3.5,3.1,6.6,0.27,0.25,0.52,0.27,0.52,https://fbref.com/en/players/0ef89a37/,https://fbref.com/en/players/0ef89a37/scout/365_euro/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/11160/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/11174/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/10731/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/3248/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/1886/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/1631/Philippe-Coutinho-Scouting-Report,https://fbref.com/en/players/0ef89a37/scout/1652/Philippe-Coutinho-Scouting-Report
Aaron Cresswell,ENG,DF,West Ham,32-147,1989,29,29,2546,28.3,2,3,2,0,0,3,0,0.07,0.11,0.18,0.07,0.18,1.0,1.0,3.2,4.2,0.03,0.11,0.15,0.03,0.15,https://fbref.com/en/players/4f974391/,https://fbref.com/en/players/4f974391/scout/365_euro/Aaron-Cresswell-Scouting-Report,https://fbref.com/en/players/4f974391/scout/11160/Aaron-Cresswell-Scouting-Report,https://fbref.com/en/players/4f974391/scout/10728/Aaron-Cresswell-Scouting-Report,https://fbref.com/en/players/4f974391/scout/3232/Aaron-Cresswell-Scouting-Report,https://fbref.com/en/players/4f974391/scout/1889/Aaron-Cresswell-Scouting-Report,https://fbref.com/en/players/4f974391/scout/1631/Aaron-Cresswell-Scouting-Report,,
Charlie Cresswell,ENG,DF,Leeds United,19-155,2002,5,1,141,1.6,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.05,0.0,0.05,0.05,0.05,https://fbref.com/en/players/4654e5f5/,https://fbref.com/en/players/4654e5f5/all_comps/Charlie-Cresswell-Stats---All-Competitions,https://fbref.com/en/players/4654e5f5/dom_lg/Charlie-Cresswell-Domestic-League-Stats,https://fbref.com/en/players/4654e5f5/dom_cup/Charlie-Cresswell-Domestic-Cup-Stats,,,,,
Cucho,COL,FWMF,Watford,23-021,1999,24,11,1128,12.5,5,2,5,0,0,3,0,0.4,0.16,0.56,0.4,0.56,2.5,2.5,1.9,4.4,0.2,0.15,0.35,0.2,0.35,https://fbref.com/en/players/71b47ab9/,https://fbref.com/en/players/71b47ab9/scout/365_euro/Cucho-Scouting-Report,https://fbref.com/en/players/71b47ab9/scout/11160/Cucho-Scouting-Report,https://fbref.com/en/players/71b47ab9/scout/10731/Cucho-Scouting-Report,https://fbref.com/en/players/71b47ab9/scout/3239/Cucho-Scouting-Report,https://fbref.com/en/players/71b47ab9/scout/1886/Cucho-Scouting-Report,,,
Marc Cucurella,ESP,DF,Brighton,23-293,1998,33,33,2909,32.3,1,1,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,0.6,0.6,2.5,3.1,0.02,0.08,0.1,0.02,0.1,https://fbref.com/en/players/1daec722/,https://fbref.com/en/players/1daec722/scout/365_euro/Marc-Cucurella-Scouting-Report,https://fbref.com/en/players/1daec722/scout/11160/Marc-Cucurella-Scouting-Report,https://fbref.com/en/players/1daec722/scout/10731/Marc-Cucurella-Scouting-Report,https://fbref.com/en/players/1daec722/scout/3239/Marc-Cucurella-Scouting-Report,https://fbref.com/en/players/1daec722/scout/1886/Marc-Cucurella-Scouting-Report,,,
Luke Cundle,ENG,MF,Wolves,20-015,2002,3,2,174,1.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.13,0.13,0.0,0.13,https://fbref.com/en/players/cc3b8e78/,https://fbref.com/en/players/cc3b8e78/all_comps/Luke-Cundle-Stats---All-Competitions,https://fbref.com/en/players/cc3b8e78/dom_lg/Luke-Cundle-Domestic-League-Stats,https://fbref.com/en/players/cc3b8e78/dom_cup/Luke-Cundle-Domestic-Cup-Stats,,,,,
Patson Daka,ZAM,FW,Leicester City,23-214,1998,22,13,1149,12.8,5,3,5,0,0,2,0,0.39,0.23,0.63,0.39,0.63,4.6,4.6,1.8,6.4,0.36,0.14,0.5,0.36,0.5,https://fbref.com/en/players/ca45605e/,https://fbref.com/en/players/ca45605e/scout/365_euro/Patson-Daka-Scouting-Report,https://fbref.com/en/players/ca45605e/scout/11160/Patson-Daka-Scouting-Report,,,,,,
Stuart Dallas,NIR,DFMF,Leeds United,31-022,1991,34,34,2919,32.4,1,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,2.0,2.0,2.4,4.3,0.06,0.07,0.13,0.06,0.13,https://fbref.com/en/players/67ca8566/,https://fbref.com/en/players/67ca8566/scout/365_euro/Stuart-Dallas-Scouting-Report,https://fbref.com/en/players/67ca8566/scout/11160/Stuart-Dallas-Scouting-Report,https://fbref.com/en/players/67ca8566/scout/10728/Stuart-Dallas-Scouting-Report,,,,,
Diogo Dalot,POR,DF,Manchester Utd,23-054,1999,23,18,1723,19.1,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,1.0,1.7,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/d9565625/,https://fbref.com/en/players/d9565625/scout/365_euro/Diogo-Dalot-Scouting-Report,https://fbref.com/en/players/d9565625/scout/11160/Diogo-Dalot-Scouting-Report,https://fbref.com/en/players/d9565625/scout/10730/Diogo-Dalot-Scouting-Report,https://fbref.com/en/players/d9565625/scout/1889/Diogo-Dalot-Scouting-Report,,,,
Karl Darlow,ENG,GK,Newcastle Utd,31-215,1990,8,8,720,8.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/cde3309f/,https://fbref.com/en/players/cde3309f/scout/365_euro/Karl-Darlow-Scouting-Report,https://fbref.com/en/players/cde3309f/scout/11160/Karl-Darlow-Scouting-Report,https://fbref.com/en/players/cde3309f/scout/10728/Karl-Darlow-Scouting-Report,https://fbref.com/en/players/cde3309f/scout/1631/Karl-Darlow-Scouting-Report,,,,
Josh Dasilva,ENG,MFFW,Brentford,23-200,1998,7,2,192,2.1,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,https://fbref.com/en/players/60344e4f/,https://fbref.com/en/players/60344e4f/all_comps/Josh-Dasilva-Stats---All-Competitions,https://fbref.com/en/players/60344e4f/dom_lg/Josh-Dasilva-Domestic-League-Stats,https://fbref.com/en/players/60344e4f/dom_cup/Josh-Dasilva-Domestic-Cup-Stats,,,,,
Ben Davies,WAL,DF,Tottenham,29-017,1993,26,25,2277,25.3,1,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,1.7,1.7,0.6,2.3,0.07,0.02,0.09,0.07,0.09,https://fbref.com/en/players/44781702/,https://fbref.com/en/players/44781702/scout/365_euro/Ben-Davies-Scouting-Report,https://fbref.com/en/players/44781702/scout/11160/Ben-Davies-Scouting-Report,https://fbref.com/en/players/44781702/scout/10728/Ben-Davies-Scouting-Report,https://fbref.com/en/players/44781702/scout/3232/Ben-Davies-Scouting-Report,https://fbref.com/en/players/44781702/scout/1889/Ben-Davies-Scouting-Report,https://fbref.com/en/players/44781702/scout/1631/Ben-Davies-Scouting-Report,,
Tom Davies,ENG,MF,Everton,23-315,1998,5,1,158,1.8,1,0,1,0,0,0,0,0.57,0.0,0.57,0.57,0.57,0.9,0.9,0.0,0.9,0.52,0.0,0.52,0.52,0.52,https://fbref.com/en/players/9228b07c/,https://fbref.com/en/players/9228b07c/scout/10728/Tom-Davies-Scouting-Report,https://fbref.com/en/players/9228b07c/scout/3232/Tom-Davies-Scouting-Report,https://fbref.com/en/players/9228b07c/scout/1889/Tom-Davies-Scouting-Report,https://fbref.com/en/players/9228b07c/scout/1631/Tom-Davies-Scouting-Report,,,,
Keinan Davis,ENG,FW,Aston Villa,24-087,1998,1,0,12,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/9deaf2c8/,https://fbref.com/en/players/9deaf2c8/scout/3232/Keinan-Davis-Scouting-Report,,,,,,,
Craig Dawson,ENG,DF,West Ham,32-005,1990,32,28,2574,28.6,2,2,2,0,0,5,1,0.07,0.07,0.14,0.07,0.14,2.7,2.7,0.5,3.2,0.1,0.02,0.11,0.1,0.11,https://fbref.com/en/players/3e9e06cb/,https://fbref.com/en/players/3e9e06cb/scout/365_euro/Craig-Dawson-Scouting-Report,https://fbref.com/en/players/3e9e06cb/scout/11160/Craig-Dawson-Scouting-Report,https://fbref.com/en/players/3e9e06cb/scout/10728/Craig-Dawson-Scouting-Report,https://fbref.com/en/players/3e9e06cb/scout/3232/Craig-Dawson-Scouting-Report,https://fbref.com/en/players/3e9e06cb/scout/1631/Craig-Dawson-Scouting-Report,,,
Kevin De Bruyne,BEL,MF,Manchester City,30-317,1991,27,22,1931,21.5,11,7,11,0,0,1,0,0.51,0.33,0.84,0.51,0.84,4.9,4.9,7.8,12.7,0.23,0.36,0.59,0.23,0.59,https://fbref.com/en/players/e46012d4/,https://fbref.com/en/players/e46012d4/scout/365_euro/Kevin-De-Bruyne-Scouting-Report,https://fbref.com/en/players/e46012d4/scout/11160/Kevin-De-Bruyne-Scouting-Report,https://fbref.com/en/players/e46012d4/scout/10728/Kevin-De-Bruyne-Scouting-Report,https://fbref.com/en/players/e46012d4/scout/3232/Kevin-De-Bruyne-Scouting-Report,https://fbref.com/en/players/e46012d4/scout/1889/Kevin-De-Bruyne-Scouting-Report,https://fbref.com/en/players/e46012d4/scout/1631/Kevin-De-Bruyne-Scouting-Report,,
Troy Deeney,ENG,FW,Watford,33-316,1988,2,0,25,0.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,1.45,0.32,1.77,1.45,1.77,https://fbref.com/en/players/82e34b69/,https://fbref.com/en/players/82e34b69/scout/3232/Troy-Deeney-Scouting-Report,https://fbref.com/en/players/82e34b69/scout/1889/Troy-Deeney-Scouting-Report,https://fbref.com/en/players/82e34b69/scout/1631/Troy-Deeney-Scouting-Report,,,,,
Liam Delap,ENG,FW,Manchester City,19-092,2003,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/dd897ee7/,https://fbref.com/en/players/dd897ee7/all_comps/Liam-Delap-Stats---All-Competitions,https://fbref.com/en/players/dd897ee7/dom_lg/Liam-Delap-Domestic-League-Stats,https://fbref.com/en/players/dd897ee7/dom_cup/Liam-Delap-Domestic-Cup-Stats,https://fbref.com/en/players/dd897ee7/intl_cup/Liam-Delap-International-Cup-Stats,,,,
Fabian Delph,ENG,MF,Everton,32-171,1989,10,7,582,6.5,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.02,0.0,0.02,https://fbref.com/en/players/111c3236/,https://fbref.com/en/players/111c3236/scout/365_euro/Fabian-Delph-Scouting-Report,https://fbref.com/en/players/111c3236/scout/11160/Fabian-Delph-Scouting-Report,https://fbref.com/en/players/111c3236/scout/3232/Fabian-Delph-Scouting-Report,https://fbref.com/en/players/111c3236/scout/1889/Fabian-Delph-Scouting-Report,https://fbref.com/en/players/111c3236/scout/1631/Fabian-Delph-Scouting-Report,,,
Leander Dendoncker,BEL,MF,Wolves,27-026,1995,28,19,1771,19.7,1,2,1,0,0,4,0,0.05,0.1,0.15,0.05,0.15,2.0,2.0,0.9,2.9,0.1,0.05,0.15,0.1,0.15,https://fbref.com/en/players/5a7301ae/,https://fbref.com/en/players/5a7301ae/scout/365_euro/Leander-Dendoncker-Scouting-Report,https://fbref.com/en/players/5a7301ae/scout/11160/Leander-Dendoncker-Scouting-Report,https://fbref.com/en/players/5a7301ae/scout/10728/Leander-Dendoncker-Scouting-Report,https://fbref.com/en/players/5a7301ae/scout/3232/Leander-Dendoncker-Scouting-Report,https://fbref.com/en/players/5a7301ae/scout/1889/Leander-Dendoncker-Scouting-Report,,,
Emmanuel Dennis,NGA,FWMF,Watford,24-177,1997,33,30,2581,28.7,10,6,10,0,0,9,1,0.35,0.21,0.56,0.35,0.56,7.5,7.5,3.2,10.7,0.26,0.11,0.37,0.26,0.37,https://fbref.com/en/players/2c44a35d/,https://fbref.com/en/players/2c44a35d/scout/365_euro/Emmanuel-Dennis-Scouting-Report,https://fbref.com/en/players/2c44a35d/scout/11160/Emmanuel-Dennis-Scouting-Report,https://fbref.com/en/players/2c44a35d/scout/10737/Emmanuel-Dennis-Scouting-Report,,,,,
Kiernan Dewsbury Hall,ENG,MF,Leicester City,23-247,1998,24,19,1773,19.7,1,3,1,0,0,4,0,0.05,0.15,0.2,0.05,0.2,1.2,1.2,2.2,3.5,0.06,0.11,0.18,0.06,0.18,https://fbref.com/en/players/5c74c0f5/,https://fbref.com/en/players/5c74c0f5/scout/365_euro/Kiernan-Dewsbury-Hall-Scouting-Report,https://fbref.com/en/players/5c74c0f5/scout/11160/Kiernan-Dewsbury-Hall-Scouting-Report,,,,,,
Ibrahima Diallo,FRA,MF,Southampton,23-064,1999,22,9,953,10.6,0,2,0,0,0,1,0,0.0,0.19,0.19,0.0,0.19,0.5,0.5,1.0,1.4,0.04,0.09,0.13,0.04,0.13,https://fbref.com/en/players/11ff3d56/,https://fbref.com/en/players/11ff3d56/scout/365_euro/Ibrahima-Diallo-Scouting-Report,https://fbref.com/en/players/11ff3d56/scout/11160/Ibrahima-Diallo-Scouting-Report,https://fbref.com/en/players/11ff3d56/scout/10728/Ibrahima-Diallo-Scouting-Report,https://fbref.com/en/players/11ff3d56/scout/3243/Ibrahima-Diallo-Scouting-Report,,,,
Raphael Dias Belloli,BRA,FWMF,Leeds United,25-148,1996,32,31,2658,29.5,10,3,7,3,3,7,0,0.34,0.1,0.44,0.24,0.34,9.5,7.2,6.2,13.4,0.32,0.21,0.53,0.25,0.45,https://fbref.com/en/players/3423f250/,https://fbref.com/en/players/3423f250/scout/365_euro/Raphael-Dias-Belloli-Scouting-Report,https://fbref.com/en/players/3423f250/scout/11160/Raphael-Dias-Belloli-Scouting-Report,https://fbref.com/en/players/3423f250/scout/10728/Raphael-Dias-Belloli-Scouting-Report,https://fbref.com/en/players/3423f250/scout/3243/Raphael-Dias-Belloli-Scouting-Report,,,,
Rúben Dias,POR,DF,Manchester City,24-362,1997,29,27,2402,26.7,2,4,2,0,0,5,0,0.07,0.15,0.22,0.07,0.22,2.2,2.2,2.4,4.6,0.08,0.09,0.17,0.08,0.17,https://fbref.com/en/players/31c69ef1/,https://fbref.com/en/players/31c69ef1/scout/365_euro/Ruben-Dias-Scouting-Report,https://fbref.com/en/players/31c69ef1/scout/11160/Ruben-Dias-Scouting-Report,https://fbref.com/en/players/31c69ef1/scout/10728/Ruben-Dias-Scouting-Report,,,,,
Luis Díaz,COL,FW,Liverpool,25-118,1997,12,10,868,9.6,4,3,4,0,0,0,0,0.41,0.31,0.73,0.41,0.73,4.0,4.0,1.6,5.6,0.41,0.17,0.58,0.41,0.58,https://fbref.com/en/players/4a1a9578/,https://fbref.com/en/players/4a1a9578/scout/365_euro/Luis-Diaz-Scouting-Report,https://fbref.com/en/players/4a1a9578/scout/11160/Luis-Diaz-Scouting-Report,,,,,,
Eric Dier,ENG,DF,Tottenham,28-116,1994,32,32,2801,31.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.3,2.3,0.03,0.04,0.07,0.03,0.07,https://fbref.com/en/players/ac861941/,https://fbref.com/en/players/ac861941/scout/365_euro/Eric-Dier-Scouting-Report,https://fbref.com/en/players/ac861941/scout/11160/Eric-Dier-Scouting-Report,https://fbref.com/en/players/ac861941/scout/10728/Eric-Dier-Scouting-Report,https://fbref.com/en/players/ac861941/scout/3232/Eric-Dier-Scouting-Report,https://fbref.com/en/players/ac861941/scout/1889/Eric-Dier-Scouting-Report,https://fbref.com/en/players/ac861941/scout/1631/Eric-Dier-Scouting-Report,,
Lucas Digne,FRA,DF,Everton,28-295,1993,13,13,1170,13.0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.7,2.1,0.03,0.13,0.16,0.03,0.16,https://fbref.com/en/players/1b84dbe1/,https://fbref.com/en/players/1b84dbe1/scout/365_euro/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/11160/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/10728/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/3232/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/1889/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/1652/Lucas-Digne-Scouting-Report,,
Lucas Digne,FRA,DF,Aston Villa,28-295,1993,13,13,999,11.1,0,2,0,0,0,2,0,0.0,0.18,0.18,0.0,0.18,0.5,0.5,1.3,1.9,0.05,0.12,0.17,0.05,0.17,https://fbref.com/en/players/1b84dbe1/,https://fbref.com/en/players/1b84dbe1/scout/365_euro/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/11160/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/10728/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/3232/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/1889/Lucas-Digne-Scouting-Report,https://fbref.com/en/players/1b84dbe1/scout/1652/Lucas-Digne-Scouting-Report,,
Virgil van Dijk,NED,DF,Liverpool,30-307,1991,34,34,3060,34.0,3,1,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,2.4,2.4,0.4,2.8,0.07,0.01,0.08,0.07,0.08,https://fbref.com/en/players/e06683ca/,https://fbref.com/en/players/e06683ca/scout/365_euro/Virgil-van-Dijk-Scouting-Report,https://fbref.com/en/players/e06683ca/scout/11160/Virgil-van-Dijk-Scouting-Report,https://fbref.com/en/players/e06683ca/scout/3232/Virgil-van-Dijk-Scouting-Report,https://fbref.com/en/players/e06683ca/scout/1889/Virgil-van-Dijk-Scouting-Report,https://fbref.com/en/players/e06683ca/scout/1631/Virgil-van-Dijk-Scouting-Report,,,
Issa Diop,FRA,DF,West Ham,25-122,1997,13,10,963,10.7,0,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02,https://fbref.com/en/players/a712ca2b/,https://fbref.com/en/players/a712ca2b/scout/365_euro/Issa-Diop-Scouting-Report,https://fbref.com/en/players/a712ca2b/scout/11160/Issa-Diop-Scouting-Report,https://fbref.com/en/players/a712ca2b/scout/10728/Issa-Diop-Scouting-Report,https://fbref.com/en/players/a712ca2b/scout/3232/Issa-Diop-Scouting-Report,https://fbref.com/en/players/a712ca2b/scout/1889/Issa-Diop-Scouting-Report,https://fbref.com/en/players/a712ca2b/scout/1632/Issa-Diop-Scouting-Report,,
Moussa Djenepo,MLI,MF,Southampton,23-330,1998,11,5,438,4.9,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.5,1.5,0.2,1.7,0.3,0.05,0.35,0.3,0.35,https://fbref.com/en/players/254147d4/,https://fbref.com/en/players/254147d4/scout/365_euro/Moussa-Djenepo-Scouting-Report,https://fbref.com/en/players/254147d4/scout/11160/Moussa-Djenepo-Scouting-Report,https://fbref.com/en/players/254147d4/scout/10728/Moussa-Djenepo-Scouting-Report,https://fbref.com/en/players/254147d4/scout/3232/Moussa-Djenepo-Scouting-Report,,,,
Lewis Dobbin,ENG,FWMF,Everton,19-128,2003,3,0,32,0.4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/e814e1cf/,https://fbref.com/en/players/e814e1cf/all_comps/Lewis-Dobbin-Stats---All-Competitions,https://fbref.com/en/players/e814e1cf/dom_lg/Lewis-Dobbin-Domestic-League-Stats,https://fbref.com/en/players/e814e1cf/dom_cup/Lewis-Dobbin-Domestic-Cup-Stats,,,,,
