Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG,npxG,xA,npxG+xA,xG/90,xA/90,xG+xA/90,npxG/90,npxG+xA/90,Reference,Scouting Report 1,Scouting Report 2,Scouting Report 3,Scouting Report 4,Scouting Report 5,Scouting Report 6,Scouting Report 7
Stéphane Bahoken,CMR,FW,Angers,29,1992,29,12,1099,12.2,3,1,3,0,0,0,0,0.25,0.08,0.33,0.25,0.33,3.8,3.8,1.0,4.8,0.31,0.08,0.39,0.31,0.39,https://fbref.com/en/players/5046b7d4/,https://fbref.com/en/players/5046b7d4/scout/365_euro/Stephane-Bahoken-Scouting-Report,https://fbref.com/en/players/5046b7d4/scout/11183/Stephane-Bahoken-Scouting-Report,https://fbref.com/en/players/5046b7d4/scout/10732/Stephane-Bahoken-Scouting-Report,https://fbref.com/en/players/5046b7d4/scout/3243/Stephane-Bahoken-Scouting-Report,https://fbref.com/en/players/5046b7d4/scout/2104/Stephane-Bahoken-Scouting-Report,https://fbref.com/en/players/5046b7d4/scout/1632/Stephane-Bahoken-Scouting-Report,
Dénys Bain,FRA,DF,Brest,28,1993,2,2,180,2.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/5065d67d/,https://fbref.com/en/players/5065d67d/scout/3243/Denys-Bain-Scouting-Report,,,,,,
Stefan Bajic,FRA,GK,Saint-Étienne,19,2001,7,4,510,5.7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/be13e5a8/,https://fbref.com/en/players/be13e5a8/scout/365_euro/Stefan-Bajic-Scouting-Report,https://fbref.com/en/players/be13e5a8/scout/11183/Stefan-Bajic-Scouting-Report,,,,,
Cédric Bakambu,COD,FW,Marseille,30,1991,12,5,356,4.0,4,0,4,0,0,1,0,1.01,0.0,1.01,1.01,1.01,3.1,3.1,0.6,3.7,0.78,0.15,0.93,0.78,0.93,https://fbref.com/en/players/0af4dcf0/,https://fbref.com/en/players/0af4dcf0/scout/1652/Cedric-Bakambu-Scouting-Report,,,,,,
Abdoulaye Bakayoko,FRA,DF,Saint-Étienne,18,2002,4,4,307,3.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://fbref.com/en/players/ee95585f/,https://fbref.com/en/players/ee95585f/matchlogs/2021-2022/passing/Abdoulaye-Bakayoko-Match-Logs,,,,,,
Dilane Bakwa,FRA,FWDF,Bordeaux,18,2002,5,0,43,0.5,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,0.74,0.0,0.74,0.74,0.74,https://fbref.com/en/players/2b5a35e5/,https://fbref.com/en/players/2b5a35e5/all_comps/Dilane-Bakwa-Stats---All-Competitions,https://fbref.com/en/players/2b5a35e5/dom_lg/Dilane-Bakwa-Domestic-League-Stats,https://fbref.com/en/players/2b5a35e5/dom_cup/Dilane-Bakwa-Domestic-Cup-Stats,,,,
Ibrahima Baldé,FRA,FWMF,Lens,18,2003,4,0,58,0.6,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,https://fbref.com/en/players/a30cb0d4/,https://fbref.com/en/players/a30cb0d4/all_comps/Ibrahima-Balde-Stats---All-Competitions,https://fbref.com/en/players/a30cb0d4/dom_lg/Ibrahima-Balde-Domestic-League-Stats,https://fbref.com/en/players/a30cb0d4/dom_cup/Ibrahima-Balde-Domestic-Cup-Stats,,,,
Leonardo Balerdi,ARG,DF,Marseille,22,1999,17,10,950,10.6,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.01,0.0,0.01,0.01,0.01,https://fbref.com/en/players/7c3ed041/,https://fbref.com/en/players/7c3ed041/scout/365_euro/Leonardo-Balerdi-Scouting-Report,https://fbref.com/en/players/7c3ed041/scout/11183/Leonardo-Balerdi-Scouting-Report,https://fbref.com/en/players/7c3ed041/scout/10732/Leonardo-Balerdi-Scouting-Report,,,,
Abdoulaye Bamba,CIV,DF,Angers,31,1990,10,4,458,5.1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.02,0.03,0.05,0.02,0.05,https://fbref.com/en/players/7fecbcdb/,https://fbref.com/en/players/7fecbcdb/scout/365_euro/Abdoulaye-Bamba-Scouting-Report,https://fbref.com/en/players/7fecbcdb/scout/11183/Abdoulaye-Bamba-Scouting-Report,https://fbref.com/en/players/7fecbcdb/scout/10732/Abdoulaye-Bamba-Scouting-Report,https://fbref.com/en/players/7fecbcdb/scout/3243/Abdoulaye-Bamba-Scouting-Report,https://fbref.com/en/players/7fecbcdb/scout/2104/Abdoulaye-Bamba-Scouting-Report,https://fbref.com/en/players/7fecbcdb/scout/1632/Abdoulaye-Bamba-Scouting-Report,
Jonathan Bamba,FRA,MFFW,Lille,25,1996,31,28,2428,27.0,1,2,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,3.2,3.2,3.5,6.7,0.12,0.13,0.25,0.12,0.25,https://fbref.com/en/players/b2bd0f6c/,https://fbref.com/en/players/b2bd0f6c/scout/365_euro/Jonathan-Bamba-Scouting-Report,https://fbref.com/en/players/b2bd0f6c/scout/11183/Jonathan-Bamba-Scouting-Report,https://fbref.com/en/players/b2bd0f6c/scout/10732/Jonathan-Bamba-Scouting-Report,https://fbref.com/en/players/b2bd0f6c/scout/3243/Jonathan-Bamba-Scouting-Report,https://fbref.com/en/players/b2bd0f6c/scout/2104/Jonathan-Bamba-Scouting-Report,https://fbref.com/en/players/b2bd0f6c/scout/1632/Jonathan-Bamba-Scouting-Report,
